date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:34	27556/27556	---MCZ	200	added ('OK')	text/html	etag:%22rmz6w0l9g%22	https://origo.dorik.io/	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/origo.dorik.io/index.html	(from )
14:14:34	60585/60585	---M--	404	error ('Not%20Found')	text/html	etag:%22qqjh8u1aqx%22	https://origo.dorik.io/robots.txt		(from )
14:14:36	33968/33968	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202022%2008:44:34%20GMT	https://cdn.dorik.com/639c1ad7bdbb53001187eb81/css/index.css?v=1671180192910	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/639c1ad7bdbb53001187eb81/css/index3967.css	(from https://origo.dorik.io/)
14:14:36	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%226bb5545318038a2cfb38a19581c581f9%22	https://assets.dorik.io/shared/aos.css	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/assets.dorik.io/shared/aos.css	(from https://origo.dorik.io/)
14:14:37	10788/10788	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2008:44:36%20GMT	https://cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/logot_e46k7h2g.png	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/logot_e46k7h2g.png	(from https://origo.dorik.io/)
14:14:38	147437/147437	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2006:08:28%20GMT	https://cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/home-app_i0mwkvmh.png	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/home-app_i0mwkvmh.png	(from https://origo.dorik.io/)
14:14:39	111969/111969	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Dec%202022%2008:44:37%20GMT	https://cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/kurta_photo_0sn4u7k2.jpeg	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/kurta_photo_0sn4u7k2.jpg	(from https://origo.dorik.io/)
14:14:40	10392/10392	---MC-	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202022%2008:44:40%20GMT	https://cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/logo_nnaitg0s.png	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/logo_nnaitg0s.png	(from https://origo.dorik.io/)
14:14:41	89476/89476	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Nov%202022%2022:33:01%20GMT	https://cdn.dorik.com/common/jquery-3.5.1.min.js	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/common/jquery-3.5.1.min.js	(from https://origo.dorik.io/)
14:14:41	346701/346701	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Dec%202022%2008:44:38%20GMT	https://cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/IMG_20221216_131934_0kuxlbdt.jpg	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/639c1960bdbb53001187eb6c/639c1ad7bdbb53001187eb81/images/IMG_20221216_131934_0kuxlbdt.jpg	(from https://origo.dorik.io/)
14:14:41	13800/13800	---MCZ	200	added ('OK')	text/javascript	etag:W/%22aa20b6e0418d20fb86b071e670b2b207%22	https://assets.dorik.io/shared/aos.js	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/assets.dorik.io/shared/aos.js	(from https://origo.dorik.io/)
14:14:43	322040/322040	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Dec%202022%2006:08:31%20GMT	https://cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/main-bg_boletl98.jpg	H:/My%20Web%20Sites/Origo-Dorik/Origo%20Web/cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/main-bg_boletl98.jpg	(from https://cdn.dorik.com/639c1ad7bdbb53001187eb81/css/index.css?v=1671180192910)
